Position,In-State WAR,In-State Count,Out-of-State WAR,Out-of-State Count,WAR Difference,%Difference
P,0.07588529222864483,173.0,0.002192592592592598,9.0,0.07369269963605224,3360.9846117794013
IF,0.06415710177777777,135.0,0.03444871,12.0,0.029708391777777766,86.23948989026808
OF,0.029316457887788774,101.0,0.03069652799999999,30.0,-0.0013800701122112166,-4.495850840887337
C,0.6575274543809524,70.0,,,,
UTIL,0.06258810461538461,13.0,,,,
Unknown,0.0013080000000000001,7.0,,,,
